"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","State","State Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Other bacterial diseases","A30-A49","2015","2015","Florida","12",11735,20271272,57.9,40.4
,"Other bacterial diseases","A30-A49","2015","2015","Georgia","13",6012,10214860,58.9,59.8
,"Other bacterial diseases","A30-A49","2015","2015","Hawaii","15",527,1431603,36.8,28.4
,"Other bacterial diseases","A30-A49","2015","2015","Idaho","16",669,1654930,40.4,36.9
,"Other bacterial diseases","A30-A49","2015","2015","Illinois","17",7818,12859995,60.8,53.1
,"Other bacterial diseases","A30-A49","2015","2015","Indiana","18",4499,6619680,68.0,59.0
,"Other bacterial diseases","A30-A49","2015","2015","Iowa","19",1736,3123899,55.6,42.5
,"Other bacterial diseases","A30-A49","2015","2015","Kansas","20",1739,2911641,59.7,51.0
,"Other bacterial diseases","A30-A49","2015","2015","Kentucky","21",3869,4425092,87.4,75.6
,"Other bacterial diseases","A30-A49","2015","2015","Louisiana","22",3290,4670724,70.4,65.3
,"Other bacterial diseases","A30-A49","2015","2015","Maine","23",733,1329328,55.1,39.3
,"Other bacterial diseases","A30-A49","2015","2015","Maryland","24",3187,6006401,53.1,47.1
,"Other bacterial diseases","A30-A49","2015","2015","Massachusetts","25",4245,6794422,62.5,50.4
,"Other bacterial diseases","A30-A49","2015","2015","Michigan","26",6285,9922576,63.3,51.1
,"Other bacterial diseases","A30-A49","2015","2015","Minnesota","27",2152,5489594,39.2,33.0
,"Other bacterial diseases","A30-A49","2015","2015","Mississippi","28",2694,2992333,90.0,80.4
,"Other bacterial diseases","A30-A49","2015","2015","Missouri","29",3697,6083672,60.8,50.0
,"Other bacterial diseases","A30-A49","2015","2015","Montana","30",501,1032949,48.5,38.1
,"Other bacterial diseases","A30-A49","2015","2015","Nebraska","31",905,1896190,47.7,40.3
,"Other bacterial diseases","A30-A49","2015","2015","Nevada","32",1675,2890845,57.9,54.5
