"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Month","Month Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
"Total","Other respiratory diseases principally affecting the interstitium","J80-J84","2022","2022",,,12435,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other respiratory diseases principally affecting the interstitium","J80-J84","2023","2023","Jan., 2023","2023/01",636,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other respiratory diseases principally affecting the interstitium","J80-J84","2023","2023","Feb., 2023","2023/02",479,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other respiratory diseases principally affecting the interstitium","J80-J84","2023","2023","Mar., 2023","2023/03",453,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other respiratory diseases principally affecting the interstitium","J80-J84","2023","2023","Apr., 2023","2023/04",396,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other respiratory diseases principally affecting the interstitium","J80-J84","2023","2023","May, 2023","2023/05",367,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other respiratory diseases principally affecting the interstitium","J80-J84","2023","2023","Jun., 2023","2023/06",307,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other respiratory diseases principally affecting the interstitium","J80-J84","2023","2023","Jul., 2023","2023/07",297,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other respiratory diseases principally affecting the interstitium","J80-J84","2023","2023","Aug., 2023","2023/08",371,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other respiratory diseases principally affecting the interstitium","J80-J84","2023","2023","Sep., 2023","2023/09",412,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other respiratory diseases principally affecting the interstitium","J80-J84","2023","2023","Oct., 2023","2023/10",436,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other respiratory diseases principally affecting the interstitium","J80-J84","2023","2023","Nov., 2023","2023/11",403,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other respiratory diseases principally affecting the interstitium","J80-J84","2023","2023","Dec., 2023","2023/12",510,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","Other respiratory diseases principally affecting the interstitium","J80-J84","2023","2023",,,5067,Not Applicable,Not Applicable,Not Applicable,Not Applicable
