Disease,Model,Model Label,Projection Plausible,Minimum Projected AAMR,2025 Mean Predicted AAMR,2025/2019 Predicted Ratio,MAE,RMSE,MAPE (%),R-squared
Pneumonia,anchored_quadratic_month_fe_20,"Quadratic trend + month effects, anchored 20% to recent seasonal mean",False,1.5,2.15,0.7456647398843931,0.1458333333333333,0.22638462845343532,4.2587222439796815,0.8501751002385425
Pneumonia,log_linear_month_fe,Log-linear trend + month effects,True,2.0,2.4250000000000003,0.8410404624277458,0.16249999999999998,0.2318404623873925,4.985198892331329,0.8428665685428616
Pneumonia,log_anchored_quadratic_month_fe_20,"Log-quadratic trend + month effects, anchored 20% to recent seasonal mean",False,1.9,2.275,0.7890173410404624,0.1625,0.23184046238739253,4.973752005884443,0.8428665685428616
Pneumonia,quadratic_month_fe,Quadratic trend + month effects,False,1.3,1.9166666666666667,0.6647398843930636,0.13749999999999998,0.23184046238739256,4.018995422535906,0.8428665685428616
Pneumonia,log_recency_weighted_36_quadratic_month_fe,Log recency-weighted quadratic trend + month effects (36-month half-life),False,1.7,2.0500000000000003,0.7109826589595377,0.13750000000000004,0.2318404623873926,4.04458491525902,0.8428665685428616
Pneumonia,recency_weighted_60_quadratic_month_fe,Recency-weighted quadratic trend + month effects (60-month half-life),False,1.3,1.9416666666666667,0.6734104046242775,0.14166666666666666,0.2327373340628157,4.1330827241232075,0.8416484799269147
Pneumonia,recency_weighted_72_quadratic_month_fe,Recency-weighted quadratic trend + month effects (72-month half-life),False,1.3,1.9416666666666667,0.6734104046242775,0.14166666666666666,0.2327373340628157,4.167804946345431,0.8416484799269147
Pneumonia,log_recency_weighted_24_quadratic_month_fe,Log recency-weighted quadratic trend + month effects (24-month half-life),False,1.7,2.033333333333333,0.7052023121387283,0.1416666666666667,0.23452078799117146,4.188263076178561,0.8392123026950211
Pneumonia,linear_month_fe,Linear trend + month effects,False,1.6,2.25,0.7803468208092486,0.14583333333333331,0.2354074481970922,4.223007958265396,0.8379942140790744
Pneumonia,recent_2012_quadratic_month_fe,2012+ quadratic trend + month effects,False,1.1,1.6916666666666667,0.5867052023121387,0.13749999999999998,0.2354074481970922,4.105966322006805,0.8379942140790744
